stock_code,trade_status,final_pnl,holding_days,MFE,MAE,raw_score_v12,best_ma,deep_touches,burst_ratio,ma_slope,drop_velocity,vol_ratio,amplitude
sh603556,止盈成功,0.0750,5,0.1035,-0.0038,145,150,8,0.2786,0.0377,-0.1439,0.7010,0.6119
sh603926,持仓到期,-0.0198,8,0.0346,-0.0303,167,150,8,0.5624,0.0489,-0.0786,1.0761,0.9859
sh688147,止盈成功,0.0980,3,0.1218,-0.0075,187,120,9,0.4766,0.0600,-0.1078,0.9762,1.0741
sh600509,持仓到期,0.0081,3,0.0335,0.0000,114,150,5,0.2163,0.0365,-0.1163,0.4227,0.2938
sh688733,止盈成功,0.0750,5,0.0893,-0.0124,199,200,9,0.2881,0.0442,-0.1941,0.3878,0.5375
sh688787,止损出局,0.0067,1,0.0000,0.0000,124,90,14,0.2665,0.0548,-0.1870,0.5915,0.9862
sh688429,止盈成功,0.0750,5,0.1204,-0.0525,82,240,15,0.2790,0.0029,-0.1452,1.0115,0.4898
sh603097,未成交,0.0000,0,0.0000,0.0000,153,90,8,0.3291,0.0652,-0.1213,0.5884,0.9448
sh688199,止盈成功,0.0980,2,0.0997,0.0000,120,240,8,0.3815,0.0262,-0.1094,0.6622,0.4878
sh600638,持仓到期,0.0347,6,0.0694,0.0000,58,240,19,0.2650,0.0157,-0.1165,0.6220,0.4007
sh603823,持仓到期,0.0051,6,0.0436,-0.0128,153,200,9,0.3147,0.0369,-0.0990,0.4960,0.4004
sh603173,持仓到期,0.0531,7,0.0911,0.0000,124,240,9,0.2673,0.0326,-0.0743,0.6191,0.5001
sh600475,持仓到期,-0.0142,5,0.0467,-0.0165,199,200,8,0.3338,0.0530,-0.1871,0.3491,0.7412
sh688233,止盈成功,0.0980,3,0.1099,0.0000,187,120,8,0.5417,0.0972,-0.1229,1.0625,1.5914
sh688201,持仓到期,0.0174,5,0.0599,-0.0119,174,200,8,0.2785,0.0409,-0.1404,0.5894,0.4314
sh600160,持仓到期,0.0111,6,0.0646,-0.0327,120,200,8,0.2716,0.0307,-0.1066,0.6782,0.3485
sh603171,止盈成功,0.0750,5,0.1083,-0.0172,142,240,9,0.6031,0.0103,-0.0840,0.5868,1.0756
sh603516,止损出局,0.0050,1,0.0000,0.0000,204,200,7,0.5868,0.0823,-0.1646,0.7613,1.0021
sh603901,止盈成功,0.0750,5,0.0967,0.0000,112,240,9,0.3771,0.0136,-0.1061,0.8929,0.5125
sh688283,止盈成功,0.0750,6,0.1218,0.0000,183,150,8,0.5385,0.0464,-0.1205,0.9798,0.9737
sh600262,止盈成功,0.0980,3,0.1221,0.0000,142,240,9,0.4419,0.0237,-0.1130,0.7114,0.6700
