=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:50:00
处理文件数: 8968
处理耗时: 2.29 秒
发现信号数: 410
历史信号总数: 410
平均胜率: 0.0%
平均收益率: 0.1%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sh688291 - 胜率: 0.0%, 收益: 6.9%, 天数: 0.0 天
 2. sz002683 - 胜率: 0.0%, 收益: 6.1%, 天数: 0.0 天
 3. sz000657 - 胜率: 0.0%, 收益: 5.2%, 天数: 0.0 天
 4. sh688425 - 胜率: 0.0%, 收益: 4.8%, 天数: 0.0 天
 5. sz002067 - 胜率: 0.0%, 收益: 3.6%, 天数: 0.0 天
 6. sh600010 - 胜率: 0.0%, 收益: 3.1%, 天数: 0.0 天
 7. sh600801 - 胜率: 0.0%, 收益: 2.3%, 天数: 0.0 天
 8. sh600380 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天
 9. sh601388 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天
10. sh600015 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 410/410
A级股票发现: 65
价格评估完成: 65
买入推荐: 210

sz002926: 74.6分, ¥10.00, 信心度: 74.6%
sz002887: 83.3分, ¥8.94, 信心度: 83.3%
sz002732: 81.2分, ¥17.54, 信心度: 81.2%
sz002807: 70.2分, ¥4.68, 信心度: 70.2%
sz300770: 72.5分, ¥40.61, 信心度: 72.5%
sz002907: 74.5分, ¥18.06, 信心度: 74.5%
sz300263: 80.8分, ¥8.68, 信心度: 80.8%
sz000753: 75.5分, ¥5.41, 信心度: 75.5%
sz002775: 81.2分, ¥4.75, 信心度: 81.2%
sz002287: 81.2分, ¥28.95, 信心度: 81.2%
sz002391: 81.7分, ¥6.43, 信心度: 81.7%
sz000661: 74.2分, ¥104.44, 信心度: 74.2%
sz000959: 82.2分, ¥4.21, 信心度: 82.2%
sz300363: 73.4分, ¥22.86, 信心度: 73.4%
sz300534: 75.6分, ¥11.14, 信心度: 75.6%
sz300238: 74.1分, ¥17.52, 信心度: 74.1%
sz002124: 73.8分, ¥3.05, 信心度: 73.8%
sz002550: 74.9分, ¥10.20, 信心度: 74.9%
sz001318: 73.7分, ¥14.28, 信心度: 73.7%
sz000751: 82.5分, ¥3.41, 信心度: 82.5%
sz002755: 81.2分, ¥27.05, 信心度: 81.2%
sz300261: 74.8分, ¥8.03, 信心度: 74.8%
sz000902: 75.1分, ¥14.04, 信心度: 75.1%
sz002067: 82.3分, ¥4.52, 信心度: 82.3%
sz000919: 82.5分, ¥7.25, 信心度: 82.5%
sz002936: 74.1分, ¥2.09, 信心度: 74.1%
sz000657: 80.6分, ¥16.62, 信心度: 80.6%
sz000153: 82.4分, ¥7.14, 信心度: 82.4%
sz002436: 71.6分, ¥16.61, 信心度: 71.6%
sz000607: 74.9分, ¥4.70, 信心度: 74.9%
sz002539: 81.9分, ¥10.67, 信心度: 81.9%
