=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:14:03
处理文件数: 8968
处理耗时: 2.31 秒
发现信号数: 1030
历史信号总数: 1030
平均胜率: 0.0%
平均收益率: 1.2%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sz300752 - 胜率: 0.0%, 收益: 20.5%, 天数: 0.0 天
 2. sz300702 - 胜率: 0.0%, 收益: 19.9%, 天数: 0.0 天
 3. sz300158 - 胜率: 0.0%, 收益: 18.9%, 天数: 0.0 天
 4. sh688228 - 胜率: 0.0%, 收益: 14.6%, 天数: 0.0 天
 5. sz300255 - 胜率: 0.0%, 收益: 14.3%, 天数: 0.0 天
 6. sz300314 - 胜率: 0.0%, 收益: 13.7%, 天数: 0.0 天
 7. sh600172 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 8. sz300669 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 9. sz300264 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
10. sz000026 - 胜率: 0.0%, 收益: 12.1%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 1030/1030
A级股票发现: 373
价格评估完成: 373
买入推荐: 805

sh600106: 81.9分, ¥6.62, BUY (信心度: 81.9%) [已评估]
sh600416: 80.8分, ¥14.84, BUY (信心度: 80.8%) [已评估]
sh600605: 82.1分, ¥40.78, BUY (信心度: 82.1%) [已评估]
sh600958: 81.3分, ¥11.52, BUY (信心度: 81.3%) [已评估]
sh603041: 81.9分, ¥12.81, BUY (信心度: 81.9%) [已评估]
sh601009: 82.1分, ¥12.00, BUY (信心度: 82.1%) [已评估]
sh601398: 82.4分, ¥7.70, BUY (信心度: 82.4%) [已评估]
sh603166: 82.0分, ¥17.70, BUY (信心度: 82.0%) [已评估]
sh688338: 80.1分, ¥28.30, BUY (信心度: 80.1%) [已评估]
sh603585: 81.7分, ¥19.64, BUY (信心度: 81.7%) [已评估]
sh600084: 82.6分, ¥5.76, BUY (信心度: 82.6%) [已评估]
sh603387: 80.5分, ¥8.80, BUY (信心度: 80.5%) [已评估]
sh600558: 83.5分, ¥5.53, BUY (信心度: 83.5%) [已评估]
sh600061: 81.8分, ¥7.75, BUY (信心度: 81.8%) [已评估]
sh603456: 80.3分, ¥18.45, BUY (信心度: 80.3%) [已评估]
sh600533: 81.5分, ¥2.78, BUY (信心度: 81.5%) [已评估]
sh600109: 81.4分, ¥9.43, BUY (信心度: 81.4%) [已评估]
sh600167: 81.0分, ¥6.23, BUY (信心度: 81.0%) [已评估]
sh600408: 82.7分, ¥2.33, BUY (信心度: 82.7%) [已评估]
sh603326: 82.2分, ¥9.21, BUY (信心度: 82.2%) [已评估]
sh600710: 82.4分, ¥10.94, BUY (信心度: 82.4%) [已评估]
sh600361: 81.1分, ¥4.26, BUY (信心度: 81.1%) [已评估]
sh600231: 81.7分, ¥2.11, BUY (信心度: 81.7%) [已评估]
sh688177: 80.7分, ¥31.50, BUY (信心度: 80.7%) [已评估]
sh601686: 80.6分, ¥6.34, BUY (信心度: 80.6%) [已评估]
sh600207: 83.1分, ¥4.92, BUY (信心度: 83.1%) [已评估]
sh600322: 81.7分, ¥3.00, BUY (信心度: 81.7%) [已评估]
sh600262: 81.1分, ¥24.36, BUY (信心度: 81.1%) [已评估]
sh600874: 81.9分, ¥6.01, BUY (信心度: 81.9%) [已评估]
sh600598: 82.3分, ¥15.19, BUY (信心度: 82.3%) [已评估]
sh600987: 81.9分, ¥7.47, BUY (信心度: 81.9%) [已评估]
sh600716: 82.6分, ¥3.97, BUY (信心度: 82.6%) [已评估]
sh600965: 81.5分, ¥5.26, BUY (信心度: 81.5%) [已评估]
sh600051: 82.3分, ¥7.91, BUY (信心度: 82.3%) [已评估]
sh600218: 82.5分, ¥9.30, BUY (信心度: 82.5%) [已评估]
sh600727: 82.1分, ¥8.10, BUY (信心度: 82.1%) [已评估]
sh600796: 83.2分, ¥6.11, BUY (信心度: 83.2%) [已评估]
sh603567: 81.1分, ¥12.97, BUY (信心度: 81.1%) [已评估]
sh600488: 82.3分, ¥4.63, BUY (信心度: 82.3%) [已评估]
sh603356: 82.3分, ¥14.32, BUY (信心度: 82.3%) [已评估]
sh600982: 83.2分, ¥4.75, BUY (信心度: 83.2%) [已评估]
sh603908: 82.5分, ¥26.79, BUY (信心度: 82.5%) [已评估]
sh600476: 82.4分, ¥18.82, BUY (信心度: 82.4%) [已评估]
sh601577: 82.2分, ¥10.20, BUY (信心度: 82.2%) [已评估]
sh600382: 81.8分, ¥5.76, BUY (信心度: 81.8%) [已评估]
sh603073: 81.5分, ¥18.87, BUY (信心度: 81.5%) [已评估]
sh603118: 81.9分, ¥11.40, BUY (信心度: 81.9%) [已评估]
sh600082: 81.6分, ¥4.06, BUY (信心度: 81.6%) [已评估]
sh603309: 80.8分, ¥14.90, BUY (信心度: 80.8%) [已评估]
sh600517: 81.3分, ¥5.44, BUY (信心度: 81.3%) [已评估]
sh600235: 82.3分, ¥6.71, BUY (信心度: 82.3%) [已评估]
sh603678: 80.4分, ¥38.15, BUY (信心度: 80.4%) [已评估]
sh688722: 80.7分, ¥22.71, BUY (信心度: 80.7%) [已评估]
sh600149: 81.7分, ¥5.69, BUY (信心度: 81.7%) [已评估]
sh600961: 81.6分, ¥12.10, BUY (信心度: 81.6%) [已评估]
sh600017: 82.9分, ¥3.28, BUY (信心度: 82.9%) [已评估]
sh600569: 81.9分, ¥2.41, BUY (信心度: 81.9%) [已评估]
sh603079: 82.0分, ¥18.88, BUY (信心度: 82.0%) [已评估]
sh603836: 83.4分, ¥14.15, BUY (信心度: 83.4%) [已评估]
sh688638: 87.0分, ¥40.57, BUY (信心度: 87.0%) [已评估]
sh603191: 81.5分, ¥15.13, BUY (信心度: 81.5%) [已评估]
sh603168: 82.3分, ¥8.32, BUY (信心度: 82.3%) [已评估]
sh600320: 81.7分, ¥4.68, BUY (信心度: 81.7%) [已评估]
sh603126: 82.3分, ¥7.34, BUY (信心度: 82.3%) [已评估]
sh603315: 82.1分, ¥13.62, BUY (信心度: 82.1%) [已评估]
sh601999: 81.9分, ¥7.42, BUY (信心度: 81.9%) [已评估]
sh603231: 82.7分, ¥17.51, BUY (信心度: 82.7%) [已评估]
sh600771: 81.7分, ¥21.42, BUY (信心度: 81.7%) [已评估]
sh600783: 80.7分, ¥12.83, BUY (信心度: 80.7%) [已评估]
sh688055: 80.7分, ¥4.13, BUY (信心度: 80.7%) [已评估]
sh600455: 81.4分, ¥29.07, BUY (信心度: 81.4%) [已评估]
sh603139: 81.4分, ¥23.35, BUY (信心度: 81.4%) [已评估]
sz002893: 81.5分, ¥11.09, BUY (信心度: 81.5%) [已评估]
sz000688: 82.7分, ¥14.41, BUY (信心度: 82.7%) [已评估]
sh603183: 82.0分, ¥4.65, BUY (信心度: 82.0%) [已评估]
sz002632: 82.1分, ¥9.44, BUY (信心度: 82.1%) [已评估]
sz000632: 82.2分, ¥4.17, BUY (信心度: 82.2%) [已评估]
sh603989: 80.4分, ¥16.60, BUY (信心度: 80.4%) [已评估]
sz002069: 83.0分, ¥4.34, BUY (信心度: 83.0%) [已评估]
sh600671: 82.0分, ¥15.18, BUY (信心度: 82.0%) [已评估]
sz300597: 82.0分, ¥10.28, BUY (信心度: 82.0%) [已评估]
