=== MACD_ZERO_AXIS 策略筛选报告 ===
扫描时间: 2025-08-12 12:10:16
处理文件数: 8968
处理耗时: 1.87 秒
发现信号数: 376
历史信号总数: 2463
平均胜率: 43.3%
平均收益率: 20.1%
平均达峰天数: 17.6 天

=== 信号状态分布 ===
PRE: 123 个
MID: 126 个
POST: 127 个

=== 前10名表现最佳股票 ===
 1. sz300521 - 胜率: 100.0%, 收益: 99.5%, 天数: 18.0 天
 2. sz000652 - 胜率: 50.0%, 收益: 62.6%, 天数: 16.0 天
 3. sz002141 - 胜率: 66.7%, 收益: 54.4%, 天数: 21.2 天
 4. sz300546 - 胜率: 20.0%, 收益: 51.2%, 天数: 28.0 天
 5. sh688496 - 胜率: 66.7%, 收益: 51.1%, 天数: 16.5 天
 6. sz002580 - 胜率: 50.0%, 收益: 47.6%, 天数: 23.5 天
 7. sz002654 - 胜率: 42.9%, 收益: 47.3%, 天数: 17.3 天
 8. sh603799 - 胜率: 66.7%, 收益: 46.2%, 天数: 31.0 天
 9. sh600169 - 胜率: 100.0%, 收益: 45.6%, 天数: 15.0 天
10. sh603527 - 胜率: 83.3%, 收益: 45.4%, 天数: 16.6 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 376/376
sz002852: 81.8分, ¥12.53, BUY (信心度: 81.8%) [已评估]
sz002062: 82.1分, ¥5.79, BUY (信心度: 82.1%) [已评估]
sz002167: 81.7分, ¥13.03, BUY (信心度: 81.7%) [已评估]
sz002350: 81.5分, ¥7.43, BUY (信心度: 81.5%) [已评估]
sz002386: 81.6分, ¥5.44, BUY (信心度: 81.6%) [已评估]
sz000927: 83.0分, ¥2.78, BUY (信心度: 83.0%) [已评估]
sz300371: 81.8分, ¥13.73, BUY (信心度: 81.8%) [已评估]
sz000528: 81.8分, ¥11.45, BUY (信心度: 81.8%) [已评估]
sz002661: 82.0分, ¥10.90, BUY (信心度: 82.0%) [已评估]
sz002686: 82.0分, ¥7.03, BUY (信心度: 82.0%) [已评估]
sz002117: 82.0分, ¥12.53, BUY (信心度: 82.0%) [已评估]
sz000557: 82.6分, ¥5.63, BUY (信心度: 82.6%) [已评估]
sz002057: 80.9分, ¥10.14, BUY (信心度: 80.9%) [已评估]
sz000425: 80.8分, ¥8.84, BUY (信心度: 80.8%) [已评估]
sz002836: 83.0分, ¥10.17, BUY (信心度: 83.0%) [已评估]
sz002132: 82.1分, ¥3.94, BUY (信心度: 82.1%) [已评估]
