group,stock_code,t0_date,buy_price,fine_score,status,entry_price,entry_day,stop_loss,tp1,tp2,median,upper,lower,exit_price,exit_reason,trigger_signal,pnl_pct,mfe,mae,hold_days,month,future_mfe_raw,hold_return_raw
operable_filtered,sz002306,2025-05-06 00:00:00,1.72,0.6440258060201288,traded,1.7,1.0,1.8937535629381372,2.227952602033743,2.2869289030506144,2.11,2.227952602033743,1.9920473979662565,1.76,dynamic_stop,D4,0.03529411764705892,0.08235294117647067,0.0,1.0,2025-05,0.1918604651162789,0.1453488372093023
operable_filtered,sz300344,2025-05-09 00:00:00,4.91,0.7328322522597805,traded,4.9,1.0,7.709940123924885,8.637305386950064,8.800958080425097,8.31,8.637305386950064,7.982694613049937,4.508000000000001,dynamic_stop,D4,-0.07999999999999985,0.010204081632653024,-0.18163265306122459,1.0,2025-05,0.0101419878296147,-0.1059063136456213
operable_filtered,sz002076,2025-05-12 00:00:00,1.92,0.706559913757669,traded,1.98,2.0,2.062857101086052,2.3984415812257893,2.4576623718386843,2.28,2.3984415812257893,2.1615584187742103,2.03,dynamic_stop,D4,0.025252525252525082,0.035353535353535276,-0.015151515151515166,1.0,2025-05,0.1420765027322403,-0.015625
operable_filtered,sz300344,2025-05-13 00:00:00,4.22,0.5980646957204595,traded,4.14,2.0,7.612191582020986,8.226986409806734,8.335479614710103,8.01,8.226986409806734,7.793013590193265,4.06,dynamic_stop,D4,-0.019323671497584516,0.045893719806763385,-0.04589371980676317,1.0,2025-05,0.1165501165501166,-0.0308056872037914
operable_filtered,sz002076,2025-05-14 00:00:00,1.98,0.6189394803815663,traded,2.03,1.0,1.91287791162551,2.124793866386085,2.1621907995791276,2.05,2.124793866386085,1.9752061336139144,1.87,dynamic_stop,D4,-0.07881773399014769,0.004926108374384351,-0.07881773399014765,1.0,2025-05,0.0717948717948717,-0.0757575757575756
operable_filtered,sh603398,2025-05-15 00:00:00,5.17,0.6785031181239544,traded,5.34,2.0,7.698224560636326,8.64369569419837,8.810543541297553,8.31,8.64369569419837,7.976304305801633,5.38,dynamic_stop,D4,0.0074906367041198685,0.08052434456928834,-0.01310861423220979,1.0,2025-05,0.125,-0.1063829787234041
operable_filtered,bj920970,2025-05-15 00:00:00,8.98,0.6571271168379194,traded,8.45,7.0,8.065512653509433,8.458811279903946,8.528216919855918,8.32,8.458811279903946,8.181188720096054,8.458811279903946,initial_tp,,0.0010427550182185996,0.02958579881656805,-0.027218934911242446,1.0,2025-05,0.0987791342952275,0.0133630289532293
operable_filtered,sz002717,2025-05-16 00:00:00,1.66,0.7845775379311063,traded,1.8,1.0,2.539667482756673,2.8338177366781783,2.8857266050172674,2.73,2.8338177366781783,2.6261822633218217,1.82,dynamic_stop,D4,0.011111111111111072,0.04999999999999992,-0.01666666666666668,1.0,2025-05,0.4723926380368097,0.0843373493975905
operable_filtered,bj920199,2025-05-16 00:00:00,29.89,0.7111579191329053,traded,27.2,6.0,25.024,31.3433876715579,32.46508150733685,29.1,31.3433876715579,26.856612328442104,28.17,dynamic_stop,D4,0.03566176470588234,0.04779411764705885,-0.025735294117647033,1.0,2025-05,0.6066889632107024,0.3489461358313817
operable_filtered,bj920305,2025-05-19 00:00:00,13.18,0.6717836148655365,traded,12.82,1.0,12.607029391518267,15.037983968262763,15.466975952394144,14.18,15.037983968262763,13.322016031737236,12.94,dynamic_stop,D4,0.009360374414976613,0.08970358814352576,-0.018720748829953213,1.0,2025-05,0.0746153846153847,-0.3201820940819422
