trade_idx,stock_code,t0_date,entry_price,day_idx,date,code,type,severity,day_high,day_low,day_close,current_stop,pnl_at_signal,level
350,bj920198,2025-05-19 00:00:00,15.31,1,2025-05-21,D4,danger,exit,15.5,14.3,14.35,14.0852,-0.06270411495754413,
351,bj920873,2025-05-20 00:00:00,6.08,6,2025-06-04,S1,strength,,6.51,6.03,6.38,5.5936,0.049342105263157965,strong
351,bj920873,2025-05-20 00:00:00,6.08,8,2025-06-06,S1,strength,,7.61,6.18,6.86,5.825599504985148,0.12828947368421062,strong
351,bj920873,2025-05-20 00:00:00,6.08,19,2025-06-23,S2,strength,,6.38,6.09,6.34,5.975599504985148,0.042763157894736725,moderate
351,bj920873,2025-05-20 00:00:00,6.08,21,2025-06-25,S1,strength,,7.06,6.52,6.92,6.06,0.13815789473684204,strong
352,bj920427,2025-05-20 00:00:00,14.321930129216772,1,2025-05-27,D4,danger,exit,14.450599853943666,13.866637257106218,14.024999995231628,13.176175718879431,-0.020732550103662817,
353,bj920857,2025-05-20 00:00:00,18.859095263438,2,2025-05-28,D4,danger,exit,18.78946780202235,17.904204364023414,18.013618946248002,17.350367642362958,-0.044831223628692185,
355,bj920436,2025-05-20 00:00:00,25.6,2,2025-05-23,D4,danger,exit,24.49,22.56,22.72,23.552000000000003,-0.11250000000000004,
356,bj920198,2025-05-20 00:00:00,14.0,1,2025-05-27,D4,danger,exit,14.15,13.53,13.54,12.88,-0.03285714285714292,
357,bj920284,2025-05-21 00:00:00,27.25,8,2025-06-06,S1,strength,,30.97,28.05,29.3,25.07,0.07522935779816509,strong
357,bj920284,2025-05-21 00:00:00,27.25,9,2025-06-09,S1,strength,,31.77,29.22,30.7,26.66019739996891,0.12660550458715591,strong
357,bj920284,2025-05-21 00:00:00,27.25,10,2025-06-10,S1,strength,,33.1,30.25,30.93,27.83019739996891,0.135045871559633,strong
358,bj920175,2025-05-21 00:00:00,12.52,1,2025-05-27,E1,exhaustion,reduce,12.76,12.34,12.57,11.5184,0.003993610223642197,
359,bj920198,2025-05-21 00:00:00,14.0,1,2025-05-27,D4,danger,exit,14.15,13.53,13.54,12.88,-0.03285714285714292,
360,bj920719,2025-05-22 00:00:00,14.99,3,2025-05-29,D4,danger,exit,15.28,14.7,14.83,13.7908,-0.010673782521681163,
363,bj920580,2025-05-22 00:00:00,13.538849889187782,2,2025-05-28,D4,danger,exit,13.419477223008316,12.772875281202873,12.882300225200717,12.45574189805276,-0.048493754592211724,
364,bj920075,2025-05-22 00:00:00,33.744469290595546,3,2025-05-29,E1,exhaustion,reduce,34.393212364635545,32.92862572778767,33.71498096904827,31.044911747347903,-0.0008738712496360046,
365,bj920670,2025-05-23 00:00:00,15.349174915472142,1,2025-05-27,D4,danger,exit,15.448844882455727,15.050165014521385,15.119933991409894,14.314704688083983,-0.014935064935065023,
366,bj920263,2025-05-26 00:00:00,15.23,3,2025-06-06,D4,danger,exit,14.87,14.54,14.54,14.0116,-0.045305318450426846,
367,bj920198,2025-05-26 00:00:00,13.85,1,2025-05-30,D4,danger,exit,14.06,13.29,13.37,12.742,-0.034657039711191384,
368,bj920810,2025-05-26 00:00:00,16.928571428571427,7,2025-06-10,S1,strength,,17.42142857142857,15.964285714285715,17.314285714285713,15.574285714285711,0.0227848101265824,strong
369,bj920263,2025-05-27 00:00:00,15.23,2,2025-06-05,D4,danger,exit,15.06,14.54,14.68,14.0116,-0.03611293499671708,
370,sz002717,2025-05-27 00:00:00,2.07,1,2025-06-03,D4,danger,exit,2.16,2.06,2.08,1.9044,0.004830917874396157,
371,bj920436,2025-05-28 00:00:00,22.29,7,2025-06-17,D4,danger,exit,22.16,21.28,21.38,20.5068,-0.04082548227904892,
372,bj920075,2025-05-28 00:00:00,32.142270486527075,3,2025-06-06,D4,danger,exit,32.42732426148404,31.355915245266466,31.4640390909398,29.57088884760491,-0.02110091743119291,
373,bj920576,2025-05-28 00:00:00,38.8462313860252,2,2025-06-05,D4,danger,exit,36.93722794959908,35.49553264604811,35.55518900343642,35.73853287514318,-0.08471973381110853,
374,sz300205,2025-05-28 00:00:00,4.0,2,2025-06-09,D4,danger,exit,3.95,3.71,3.91,3.68,-0.022499999999999964,
375,bj920571,2025-05-29 00:00:00,9.949700598802396,2,2025-06-05,D4,danger,exit,9.999201596806387,9.514091816367266,9.523992015968064,9.153724550898206,-0.042786069651741365,
376,bj920436,2025-05-29 00:00:00,22.6,1,2025-06-05,D4,danger,exit,22.6,21.68,21.83,20.792,-0.03407079646017708,
377,sh603577,2025-05-29 00:00:00,11.61306842816539,1,2025-06-04,D4,danger,exit,12.7863065056684,11.076162867274181,11.115933649562418,10.68402295391216,-0.04280821917808231,
379,bj920475,2025-05-30 00:00:00,20.88208333333333,1,2025-06-10,E1,exhaustion,reduce,21.390915750915752,20.17370879120879,20.902037545787547,19.211516666666668,0.000955566172957667,
380,sz002630,2025-05-30 00:00:00,2.83,5,2025-06-11,D5,danger,reduce,2.77,2.72,2.75,2.6036,-0.028268551236749095,
381,bj920394,2025-05-30 00:00:00,40.61985862949146,5,2025-06-13,S1,strength,,43.807292362065574,41.167698802277634,42.65184763400746,38.046283381018426,0.05002452182442374,strong
382,bj920174,2025-05-30 00:00:00,41.98,5,2025-06-13,D4,danger,exit,41.53,39.35,39.86,38.6216,-0.05050023820867078,
383,sz002630,2025-06-03 00:00:00,2.68,3,2025-06-11,E1,exhaustion,reduce,2.77,2.72,2.75,2.492737035357382,0.026119402985074647,
385,sz002630,2025-06-04 00:00:00,2.68,3,2025-06-11,E1,exhaustion,reduce,2.77,2.72,2.75,2.469438763976397,0.026119402985074647,
387,bj920344,2025-06-04 00:00:00,25.24,5,2025-06-13,D4,danger,exit,26.88,24.58,24.7,23.2208,-0.021394611727416746,
388,sz002076,2025-06-04 00:00:00,1.92,1,2025-06-11,E1,exhaustion,reduce,1.94,1.91,1.92,1.8081998135063704,0.0,
389,bj920982,2025-06-04 00:00:00,370.86670786544926,2,2025-06-10,D4,danger,exit,375.35373717048805,349.95776178414616,353.3154027607058,341.1973712362133,-0.04732510288065839,
390,sh603076,2025-06-05 00:00:00,38.83564233888178,1,2025-06-10,D4,danger,exit,38.94470337174563,35.93065300896287,35.93065300896287,35.728790951771245,-0.07480214449834066,
391,bj920493,2025-06-06 00:00:00,155.5,2,2025-06-13,D4,danger,exit,152.0,145.38,146.38,143.06,-0.058649517684887464,
393,bj920207,2025-06-06 00:00:00,28.388732740104327,6,2025-06-24,S1,strength,,29.075556919300404,27.57250690395827,29.025787051242716,26.117634120895985,0.02244039270687237,strong
393,bj920207,2025-06-06 00:00:00,28.388732740104327,7,2025-06-25,S1,strength,,31.145983430500156,28.667444001227373,30.65823872353483,26.46833710016553,0.07994389901823284,strong
393,bj920207,2025-06-06 00:00:00,28.388732740104327,9,2025-06-27,S2,strength,,30.58856090825407,29.234820497085,29.911690702669535,27.563274197434634,0.05364656381486688,moderate
394,bj920174,2025-06-09 00:00:00,40.8,1,2025-06-17,D4,danger,exit,40.93,40.06,40.15,37.85252532859987,-0.01593137254901955,
395,bj920719,2025-06-10 00:00:00,16.98,1,2025-06-13,D4,danger,exit,18.15,16.05,16.15,15.6216,-0.04888103651354547,
396,bj920719,2025-06-11 00:00:00,16.98,1,2025-06-13,D4,danger,exit,18.15,16.05,16.15,15.6216,-0.04888103651354547,
397,bj920527,2025-06-12 00:00:00,20.1592420212766,4,2025-06-26,E1,exhaustion,reduce,21.231123670212767,20.700099734042553,20.86727393617021,18.54650265957447,0.03512195121951178,
398,bj920199,2025-06-12 00:00:00,37.54,1,2025-06-20,D4,danger,exit,38.59,33.64,33.66,34.5368,-0.1033564198188599,
400,bj920527,2025-06-13 00:00:00,20.1592420212766,4,2025-06-26,E1,exhaustion,reduce,21.231123670212767,20.700099734042553,20.86727393617021,18.54650265957447,0.03512195121951178,
401,bj920075,2025-06-13 00:00:00,33.87225201730039,9,2025-07-04,D4,danger,exit,34.766731104234324,33.06623789500828,33.10555565707131,31.16247185591636,-0.022634939059779424,
402,sz002190,2025-06-13 00:00:00,35.4,1,2025-06-24,D4,danger,exit,36.0,34.85,35.01,32.568,-0.011016949152542366,
403,bj920019,2025-06-13 00:00:00,22.404760147601475,7,2025-07-02,S1,strength,,27.96,24.02,26.24,20.850200054248194,0.17117968802755068,strong
403,bj920019,2025-06-13 00:00:00,22.404760147601475,10,2025-07-07,D2,danger,exit,24.23,23.55,23.75,23.36054821839285,0.06004259110725352,
404,bj920061,2025-06-16 00:00:00,40.52613102159447,5,2025-06-30,S1,strength,,43.86674467617965,40.296775457249815,43.00915430515182,37.28404053986692,0.061269685039370136,strong
404,bj920061,2025-06-16 00:00:00,40.52613102159447,6,2025-07-01,D5,danger,reduce,42.99918232409335,41.682880824376205,42.10170402883166,38.699083711512664,0.038877952755905554,
404,bj920061,2025-06-16 00:00:00,40.52613102159447,6,2025-07-01,E1,exhaustion,reduce,42.99918232409335,41.682880824376205,42.10170402883166,42.10170402883166,0.038877952755905554,
405,bj920075,2025-06-16 00:00:00,33.87225201730039,9,2025-07-04,D4,danger,exit,34.766731104234324,33.06623789500828,33.10555565707131,31.16247185591636,-0.022634939059779424,
406,bj920781,2025-06-16 00:00:00,13.3,9,2025-07-07,S2,strength,,13.0,12.76,12.9,12.236,-0.03007518796992481,moderate
407,bj920527,2025-06-16 00:00:00,20.1592420212766,4,2025-06-26,E1,exhaustion,reduce,21.231123670212767,20.700099734042553,20.86727393617021,18.54650265957447,0.03512195121951178,
408,bj920169,2025-06-16 00:00:00,43.0,1,2025-06-20,D4,danger,exit,44.9,39.97,40.03,39.56,-0.06906976744186044,
409,bj920199,2025-06-17 00:00:00,33.92,6,2025-07-01,S1,strength,,44.04,36.01,40.59,31.2064,0.19663915094339623,strong
410,bj920781,2025-06-17 00:00:00,13.3,9,2025-07-07,S2,strength,,13.0,12.76,12.9,12.236,-0.03007518796992481,moderate
412,bj920363,2025-06-18 00:00:00,16.906947067531007,8,2025-07-03,D2,danger,exit,18.24731764585779,17.539053647082845,17.714215711296006,15.554391302128527,0.04774774774774815,
413,sh603398,2025-06-19 00:00:00,5.34,6,2025-07-03,D1,danger,exit,6.16,5.58,5.63,4.9128,0.054307116104868935,
414,bj920204,2025-06-19 00:00:00,22.94211409165955,1,2025-06-24,D4,danger,exit,23.73012583654699,22.453347313185066,23.450830534561568,21.106744964326783,0.022173913043478377,
415,bj920010,2025-06-19 00:00:00,14.0013932156978,5,2025-07-02,S2,strength,,14.071200731730482,13.80194316989014,13.96150320653627,12.881281758441975,-0.002849002849002691,moderate
415,bj920010,2025-06-19 00:00:00,14.0013932156978,6,2025-07-03,D4,danger,exit,14.021338220278569,13.791970667599758,13.83186067676129,13.752080658438224,-0.012108262108261991,
416,sz300804,2025-06-19 00:00:00,63.5,2,2025-06-25,D4,danger,exit,62.53,55.5,56.5,58.42,-0.11023622047244097,
417,bj920895,2025-06-20 00:00:00,37.0,2,2025-06-27,D4,danger,exit,36.7,35.04,35.04,34.04,-0.05297297297297299,
418,sz300483,2025-06-20 00:00:00,11.39,1,2025-06-27,D4,danger,exit,11.53,11.2,11.25,10.4788,-0.012291483757682187,
419,bj920895,2025-06-23 00:00:00,37.0,1,2025-06-26,D4,danger,exit,37.02,36.13,36.49,34.04,-0.013783783783783754,
420,sz301292,2025-06-23 00:00:00,25.5,1,2025-06-25,D4,danger,exit,25.7,23.33,24.63,23.46,-0.034117647058823586,
422,bj920152,2025-06-23 00:00:00,24.27,2,2025-06-26,D4,danger,exit,23.75,22.8,23.0,22.3284,-0.052327976926246356,
423,bj920571,2025-06-23 00:00:00,12.27624750499002,1,2025-06-27,D4,danger,exit,12.64255489021956,12.187145708582836,12.21684630738523,11.29414770459082,-0.004838709677419173,
424,bj920895,2025-06-24 00:00:00,37.0,1,2025-06-26,D4,danger,exit,37.02,36.13,36.49,34.04,-0.013783783783783754,
425,sh603398,2025-06-24 00:00:00,5.34,6,2025-07-03,D1,danger,exit,6.16,5.58,5.63,4.9128,0.054307116104868935,
426,bj920227,2025-06-24 00:00:00,82.27955945189333,1,2025-06-27,D4,danger,exit,89.65920141446884,78.69319139531459,79.02818181818182,75.69719469574187,-0.03951622560172441,
428,sz002235,2025-06-24 00:00:00,10.41,3,2025-07-03,D4,danger,exit,10.46,9.48,9.84,9.5772,-0.05475504322766578,
429,bj920305,2025-06-25 00:00:00,12.1,2,2025-06-30,E1,exhaustion,reduce,12.44,11.21,11.67,11.132,-0.035537190082644554,
431,bj920748,2025-06-26 00:00:00,67.55048235674975,1,2025-07-07,D4,danger,exit,69.88669472321139,67.52053091615409,67.60040142440918,62.14644376820978,0.0007389890629618812,
432,bj920305,2025-06-26 00:00:00,11.67,1,2025-07-01,D4,danger,exit,11.99,11.05,11.14,10.7364,-0.045415595544130216,
433,bj920871,2025-06-26 00:00:00,18.751077389984825,1,2025-07-01,D4,danger,exit,19.322276176024282,17.332928679817908,17.332928679817908,17.62121289896564,-0.07563025210084029,
434,sz002365,2025-06-26 00:00:00,27.146634144042228,7,2025-07-09,D5,danger,reduce,28.737556561085974,27.4889592760181,27.984434389140272,24.97490341251885,0.030862030285324193,
437,bj920106,2025-06-27 00:00:00,106.93992130209264,5,2025-07-14,D4,danger,exit,102.38928635306743,97.3736952244679,97.54187086388838,98.38472759792523,-0.08788159111933402,
438,sz300414,2025-06-27 00:00:00,12.59058295950093,6,2025-07-14,S1,strength,,14.86,13.01,14.01,11.583336322740855,0.11273640347431013,strong
438,sz300414,2025-06-27 00:00:00,12.59058295950093,12,2025-07-22,S1,strength,,14.79,13.51,14.04,12.505818604836955,0.11511913667232787,strong
438,sz300414,2025-06-27 00:00:00,12.59058295950093,14,2025-07-24,S1,strength,,15.89,13.56,15.16,13.005818604836955,0.2040745093983256,strong
439,bj920088,2025-06-30 00:00:00,42.95,4,2025-07-07,D4,danger,exit,40.58,39.5,40.17,39.514,-0.06472642607683354,
