====================================================================================================
B级股票长期跟踪报告
====================================================================================================
生成时间: 2025-08-28 17:05:06
B级股票数量: 438只

📋 B级筛选标准:
  • 置信度范围: 60% - 85%
  • 风险等级: 中, 低
  • 最低信号强度: 1
  • 最低预期收益: 5.0%
  • RSI范围: 20 - 40
  • 综合评分范围: 60 - 80分

📈 表现统计摘要
--------------------------------------------------
5日表现:
  平均涨幅: 3.71%
  胜率: 76.5% (62/81)
  最大涨幅: 21.66%
  最大跌幅: -14.20%

15日表现:
  平均涨幅: 4.30%
  胜率: 70.4% (57/81)
  最大涨幅: 28.58%
  最大跌幅: -5.56%

23日表现:
  平均涨幅: 4.42%
  胜率: 66.7% (54/81)
  最大涨幅: 28.58%
  最大跌幅: -6.41%

🥈 B级原因分布:
  universal_screeningB级: 421只
  RSI底部B级: 17只

📂 数据来源分布:
  universal_screening: 421只
  rsi_bottom: 17只

🔄 重复数据统计:
  有重复记录的股票: 436只
  总计去除重复记录: 2990条

📊 B级股票详细表现
----------------------------------------------------------------------------------------------------
序号   股票代码         回测日期         B级原因                           5日涨幅       15日涨幅      23日涨幅      当前价格      
58   sz001358     2025-08-15   universal_screeningB级 (信号强度2   +0.9%      +5.3%      +5.3%      ¥25.99    
59   sz002014     2025-07-28   RSI底部B级 (置信度82.0%, 中风险)        +0.7%      -3.0%      -2.6%      ¥11.27    
60   sh603609     2025-08-15   universal_screeningB级 (信号强度1   +0.5%      -2.4%      -2.4%      ¥8.66     
61   sh603178     2025-08-15   universal_screeningB级 (信号强度2   +0.2%      +1.5%      +1.5%      ¥19.53    
62   sh601838     2025-07-28   RSI底部B级 (置信度82.0%, 中风险)        +0.1%      -3.8%      -1.1%      ¥18.54    
63   sz002948     2025-07-28   RSI底部B级 (置信度71.5%, 中风险)        +0.0%      +0.2%      -1.6%      ¥4.86     
64   sz300972     2025-07-28   RSI底部B级 (置信度71.5%, 中风险)        -0.4%      +6.1%      +20.4%     ¥176.50   
65   sh600123     2025-08-15   universal_screeningB级 (信号强度2   -0.6%      -3.1%      -3.1%      ¥6.63     
66   sz002762     2025-08-15   universal_screeningB级 (信号强度2   -0.6%      +1.9%      +1.9%      ¥6.55     
67   sh688100     2025-07-28   RSI底部B级 (置信度80.0%, 中风险)        -0.6%      +2.4%      +12.5%     ¥38.88    
68   sh600863     2025-07-28   RSI底部B级 (置信度83.3%, 中风险)        -0.7%      -0.5%      -0.7%      ¥4.03     
69   sz001378     2025-08-15   universal_screeningB级 (信号强度2   -0.9%      -2.2%      -2.2%      ¥22.81    
70   sh600941     2025-07-28   RSI底部B级 (置信度82.0%, 中风险)        -1.2%      -1.1%      -0.4%      ¥108.97   
71   sh603050     2025-08-14   universal_screeningB级 (信号强度2   -1.3%      -2.8%      -2.8%      ¥15.97    
72   sh601825     2025-07-28   RSI底部B级 (置信度84.0%, 中风险)        -1.3%      -5.6%      -6.4%      ¥8.76     
73   sh600578     2025-07-28   RSI底部B级 (置信度71.5%, 中风险)        -1.4%      +0.5%      -1.2%      ¥4.26     
74   sh601107     2025-07-28   RSI底部B级 (置信度69.5%, 中风险)        -1.6%      -1.6%      -1.4%      ¥5.62     
75   sz002461     2025-07-28   RSI底部B级 (置信度82.0%, 中风险)        -1.9%      -0.4%      +0.3%      ¥10.59    
76   sh600546     2025-08-15   universal_screeningB级 (信号强度2   -1.9%      -5.3%      -5.3%      ¥9.88     
77   sh603959     2025-07-28   RSI底部B级 (置信度66.0%, 中风险)        -2.3%      +6.1%      +0.2%      ¥5.29     
78   sh600810     2025-08-15   universal_screeningB级 (信号强度1   -3.0%      +4.7%      +4.7%      ¥10.08    
79   sz002700     2025-07-28   RSI底部B级 (置信度80.0%, 中风险)        -3.2%      -3.0%      -4.7%      ¥7.34     
80   sz002427     2025-07-28   RSI底部B级 (置信度71.5%, 中风险)        -5.1%      +0.8%      -2.3%      ¥7.63     
81   sz000627     2025-07-28   RSI底部B级 (置信度64.5%, 中风险)        -14.2%     -2.5%      -2.5%      ¥1.58     
