signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl
2385,bj920553,2025-09-04,high_trap,10~15%,0.8412,bull_aligned,8.7057,high_trap_skip,,,,,,,,,
2386,bj920833,2025-09-04,main_wave,>20%,0.5391,bull_aligned,17.6491,simulated,22.580280000000002,22.580280000000002,7.0,26.574731532000005,19.918064988,19.918064988,20.0,sl,-0.1179
2387,bj920275,2025-09-04,main_wave,>20%,0.6817,bull_aligned,8.9501,simulated,10.97991,10.97991,2.0,12.922256079,9.685378611,9.685378611,12.0,sl,-0.1179
2388,bj920679,2025-09-04,main_wave,10~15%,0.6814,bull_aligned,18.2033,observe_expire,22.5357024,,,,,,,observe_expire,
2389,sh601069,2025-09-04,high_trap,0~3%,1.0,neutral,18.3677,high_trap_skip,,,,,,,,,
2390,bj920826,2025-09-04,main_wave,15~20%,0.4479,bull_aligned,11.1279,observe_expire,12.67263,,,,,,,observe_expire,
2391,bj920768,2025-09-04,high_trap,10~15%,0.8211,bull_aligned,7.2018,high_trap_skip,,,,,,,,,
2392,sz300827,2025-09-04,high_trap,5~10%,0.8935,bull_aligned,21.2006,high_trap_skip,,,,,,,,,
2393,sh603367,2025-09-04,main_wave,>20%,0.523,neutral,21.6785,simulated,21.549960000000002,21.549960000000002,2.0,25.362147924000006,19.009219716,19.7404590879415,21.0,expire,-0.08396771558084115
2394,bj920926,2025-09-05,high_trap,>20%,1.0,bull_aligned,15.2906,high_trap_skip,,,,,,,,,
2395,bj920523,2025-09-05,high_trap,>20%,0.836,bull_aligned,22.6882,high_trap_skip,,,,,,,,,
2396,bj920274,2025-09-05,high_trap,>20%,1.0,bull_aligned,14.9497,high_trap_skip,,,,,,,,,
2397,bj920185,2025-09-05,high_trap,10~15%,0.8152,bull_aligned,20.072,high_trap_skip,,,,,,,,,
2398,bj920553,2025-09-05,main_wave,10~15%,0.6075,bull_aligned,8.6368,simulated,12.15924,12.15924,1.0,13.752100440000001,10.774302564000001,10.774302564000001,14.0,sl,-0.1139
2399,bj920906,2025-09-05,main_wave,5~10%,0.6885,bull_aligned,20.5387,simulated,32.904621750000004,32.904621750000004,0.0,38.676092404950005,29.090976089175005,29.090976089175005,14.0,sl,-0.1159
2400,bj920237,2025-09-05,main_wave,>20%,0.5238,neutral,18.8853,observe_expire,20.089170000000003,,,,,,,observe_expire,
2401,bj920270,2025-09-05,high_zone,15~20%,0.7092,bull_aligned,15.2242,simulated,22.05824,22.05824,0.0,25.574323456000002,19.715654912,25.574323456000002,0.0,tp,0.1594
2402,bj920978,2025-09-05,high_zone,0~3%,0.7791,bull_aligned,21.4324,observe_expire,30.076144999999997,,,,,,,observe_expire,
2403,bj920058,2025-09-05,main_wave,>20%,0.5838,neutral,31.0279,observe_expire,31.281570000000002,,,,,,,observe_expire,
2404,bj920425,2025-09-05,high_zone,>20%,0.767,bull_aligned,20.8045,observe_expire,24.7665,,,,,,,observe_expire,
2405,bj920422,2025-09-05,main_wave,>20%,0.3111,bull_aligned,12.3316,observe_expire,12.79548,,,,,,,observe_expire,
2406,sh688098,2025-09-05,main_wave,15~20%,0.5381,neutral,7.7285,observe_expire,10.575000000000001,,,,,,,observe_expire,
2407,sz300450,2025-09-05,high_trap,5~10%,0.9002,bull_aligned,23.9138,high_trap_skip,,,,,,,,,
2408,bj920679,2025-09-05,main_wave,15~20%,0.5756,neutral,18.2225,observe_expire,20.75238,,,,,,,observe_expire,
2409,bj920185,2025-09-08,high_trap,10~15%,0.9074,bull_aligned,19.9342,high_trap_skip,,,,,,,,,
2410,bj920274,2025-09-08,high_trap,>20%,0.9014,bull_aligned,14.8169,high_trap_skip,,,,,,,,,
2411,bj920906,2025-09-08,main_wave,15~20%,0.5509,bull_aligned,20.2788,observe_expire,28.08675,,,,,,,observe_expire,
2412,bj920926,2025-09-08,main_wave,15~20%,0.6698,bull_aligned,15.0095,simulated,21.15378,21.15378,1.0,24.895883682,18.659749338,18.659749338,13.0,sl,-0.1179
2413,bj920896,2025-09-08,high_trap,15~20%,0.8039,bull_aligned,17.5826,high_trap_skip,,,,,,,,,
2414,bj920237,2025-09-08,high_zone,15~20%,0.7937,bull_aligned,18.651,simulated,31.455544999999997,31.455544999999997,0.0,36.469558873,28.114966121,28.114966121,0.0,sl,-0.1062
2415,bj920523,2025-09-08,high_trap,15~20%,0.9063,bull_aligned,22.5053,high_trap_skip,,,,,,,,,
2416,bj920509,2025-09-08,main_wave,10~15%,0.6658,bull_aligned,21.8328,observe_expire,29.089972799999998,,,,,,,observe_expire,
2417,bj920252,2025-09-08,high_trap,5~10%,1.0,bull_aligned,16.8088,high_trap_skip,,,,,,,,,
2418,bj920839,2025-09-08,main_wave,5~10%,0.5374,bull_aligned,27.4349,observe_expire,37.70405100000001,,,,,,,observe_expire,
2419,bj920270,2025-09-08,main_wave,>20%,0.675,bull_aligned,14.9978,simulated,20.43135,20.43135,2.0,24.045655815,18.022493835,18.917901235966035,21.0,expire,-0.07407482932033194
2420,bj920522,2025-09-08,high_trap,15~20%,0.927,bull_aligned,33.4298,high_trap_skip,,,,,,,,,
2421,bj920857,2025-09-08,high_trap,5~10%,1.0,bull_aligned,16.7968,high_trap_skip,,,,,,,,,
2422,bj920978,2025-09-08,high_zone,5~10%,0.7801,bull_aligned,21.7718,observe_expire,30.094859999999997,,,,,,,observe_expire,
2423,sz002620,2025-09-08,high_trap,15~20%,0.8358,bull_aligned,4.0958,high_trap_skip,,,,,,,,,
2424,bj920580,2025-09-08,high_trap,15~20%,1.0,bull_aligned,12.2467,high_trap_skip,,,,,,,,,
2425,bj920058,2025-09-08,high_trap,15~20%,1.0,bull_aligned,31.0826,high_trap_skip,,,,,,,,,
2426,sh688613,2025-09-08,high_trap,5~10%,0.9288,neutral,17.6132,high_trap_skip,,,,,,,,,
2427,bj920185,2025-09-09,high_trap,10~15%,0.9074,bull_aligned,19.9342,high_trap_skip,,,,,,,,,
2428,bj920274,2025-09-09,high_trap,>20%,0.9014,bull_aligned,14.8169,high_trap_skip,,,,,,,,,
2429,bj920896,2025-09-09,high_trap,>20%,0.8039,bull_aligned,17.5826,high_trap_skip,,,,,,,,,
2430,bj920252,2025-09-09,high_trap,10~15%,1.0,bull_aligned,16.8088,high_trap_skip,,,,,,,,,
2431,bj920522,2025-09-09,high_trap,>20%,0.927,bull_aligned,33.4298,high_trap_skip,,,,,,,,,
2432,sh600376,2025-09-09,high_trap,0~3%,1.0,bull_aligned,2.4023,high_trap_skip,,,,,,,,,
2433,bj920237,2025-09-09,high_zone,10~15%,0.7937,bull_aligned,18.651,simulated,31.455544999999997,31.455544999999997,0.0,34.85274386,28.237642746499997,28.237642746499997,0.0,sl,-0.1023
2434,bj920438,2025-09-09,main_wave,15~20%,0.6717,bull_aligned,24.6938,observe_expire,41.22,,,,,,,observe_expire,
2435,sz002620,2025-09-09,high_trap,15~20%,0.8358,bull_aligned,4.0958,high_trap_skip,,,,,,,,,
2436,sh603119,2025-09-09,high_zone,3~5%,0.7741,bull_aligned,40.5844,observe_expire,58.202795,,,,,,,observe_expire,
2437,sh605298,2025-09-09,high_trap,10~15%,1.0,bull_aligned,18.3756,high_trap_skip,,,,,,,,,
2438,bj920857,2025-09-09,high_trap,5~10%,1.0,bull_aligned,16.7968,high_trap_skip,,,,,,,,,
2439,bj920580,2025-09-09,high_trap,15~20%,1.0,bull_aligned,12.2467,high_trap_skip,,,,,,,,,
2440,bj920146,2025-09-09,high_trap,>20%,0.8304,bull_aligned,8.8774,high_trap_skip,,,,,,,,,
2441,sh601069,2025-09-09,high_trap,5~10%,1.0,bull_aligned,18.4966,high_trap_skip,,,,,,,,,
2442,sh601929,2025-09-09,high_trap,>20%,0.9801,bull_aligned,2.5051,high_trap_skip,,,,,,,,,
2443,bj920974,2025-09-09,high_trap,>20%,0.8627,bull_aligned,7.9556,high_trap_skip,,,,,,,,,
2444,sz300539,2025-09-09,high_trap,5~10%,0.8439,neutral,19.6563,high_trap_skip,,,,,,,,,
2445,bj920185,2025-09-10,high_trap,15~20%,0.8613,bull_aligned,19.8189,high_trap_skip,,,,,,,,,
2446,bj920252,2025-09-10,main_wave,5~10%,0.6376,bull_aligned,16.6973,simulated,30.321406500000002,30.321406500000002,0.0,35.6397812001,26.80715548665,35.6397812001,2.0,tp,0.1754
