signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,support_score,ma_zone,_ind_config,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl,gt_t0,gt_channel_width,gt_n,gt_k,gt_offset,tp_mult,sl_buffer,gt_at_entry,ema_h_at_entry,channel_at_entry,gap_at_entry,fwd_low,fwd_low_day,fwd_high,fwd_high_day,hold_low,hold_low_day,hold_high,hold_high_day,entry_type
2480,bj920906,2025-09-12,main_wave,15~20%,0.5377,bull_aligned,20.0305,6.0,transition,"('none', False)",simulated,20.0305,32.3526,1.0,38.1761,29.1174,29.1174,9.0,sl,-0.099999,20.0305,7.694,20.0,2.0,0.95,2.0,0.03,,,,,27.324,18.0,36.505,3.0,28.6185,9.0,36.505,3.0,60m
2515,bj920906,2025-09-16,main_wave,15~20%,0.649,bull_aligned,20.2099,6.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
2531,bj920906,2025-09-17,main_wave,>20%,0.6075,bull_aligned,20.3214,6.0,transition,"('none', False)",order_timeout,20.3214,,,,,,,order_timeout,,20.3214,8.6577,19.0,2.0,0.95,2.0,0.03,,,,,27.324,15.0,36.505,0.0,,,,,none
2996,bj920906,2025-10-31,main_wave,>20%,0.4975,bull_aligned,23.8799,5.0,transition,"('none', False)",order_timeout,23.8799,,,,,,,order_timeout,,23.8799,6.7722,20.0,2.0,0.95,2.0,0.03,,,,,25.6312,14.0,33.3584,0.0,,,,,none
7,bj920522,2025-02-21,main_wave,5~10%,0.6422,bull_aligned,18.3576,4.0,transition,"('none', False)",order_timeout,18.3576,,,,,,,order_timeout,,18.3576,7.1729,23.0,2.0,0.95,2.0,0.03,,,,,28.421,1.0,39.1877,5.0,,,,,none
65,bj920522,2025-02-26,main_wave,10~15%,0.6593,bull_aligned,18.7005,4.0,transition,"('none', False)",order_timeout,18.7005,,,,,,,order_timeout,,18.7005,7.3088,22.0,2.0,0.95,2.0,0.03,,,,,27.9551,21.0,39.1877,2.0,,,,,none
79,bj920522,2025-02-27,main_wave,>20%,0.6599,bull_aligned,18.8404,4.0,transition,"('none', False)",order_timeout,18.8404,,,,,,,order_timeout,,18.8404,7.3383,22.0,2.0,0.95,2.0,0.03,,,,,27.6968,21.0,39.1877,1.0,,,,,none
96,bj920522,2025-02-28,high_zone,15~20%,0.7173,bull_aligned,19.0546,4.0,transition,"('none', False)",order_timeout,19.0546,,,,,,,order_timeout,,19.0546,7.3884,21.0,2.0,0.95,1.5,0.03,,,,,27.6968,20.0,39.1877,0.0,,,,,none
116,bj920522,2025-03-03,high_zone,15~20%,0.7593,bull_aligned,19.252,4.0,transition,"('none', False)",order_timeout,19.252,,,,,,,order_timeout,,19.252,7.7811,21.0,2.0,0.95,1.5,0.03,,,,,27.6968,19.0,36.3466,10.0,,,,,none
1368,bj920522,2025-06-16,main_wave,10~15%,0.6967,bull_aligned,23.7538,6.0,transition,"('none', False)",simulated,23.7538,35.3361,10.0,41.6966,31.8025,32.9494,21.0,expire,-0.067543,23.7538,6.0282,18.0,2.0,0.95,2.0,0.03,,,,,31.7592,4.0,38.915,0.0,32.4149,17.0,36.3491,13.0,60m
1475,bj920522,2025-06-24,main_wave,10~15%,0.6655,bull_aligned,23.9428,6.0,transition,"('none', False)",order_timeout,23.9428,,,,,,,order_timeout,,23.9428,7.273,17.0,2.0,0.95,2.0,0.03,,,,,32.4149,11.0,38.8294,21.0,,,,,none
1494,bj920522,2025-06-25,main_wave,5~10%,0.6963,bull_aligned,24.0407,6.0,transition,"('none', False)",order_timeout,24.0407,,,,,,,order_timeout,,24.0407,7.4172,17.0,2.0,0.95,2.0,0.03,,,,,32.4149,10.0,40.7752,21.0,,,,,none
1550,bj920522,2025-06-30,high_zone,5~10%,0.7516,bull_aligned,24.7278,6.0,transition,"('none', False)",order_timeout,24.7278,,,,,,,order_timeout,,24.7278,8.0177,16.0,2.0,0.95,1.5,0.03,,,,,32.4149,7.0,48.4655,19.0,,,,,none
1871,bj920522,2025-07-25,high_trap,5~10%,0.8883,bull_aligned,28.1731,6.0,transition,"('none', False)",simulated,28.1731,43.1265,6.0,50.8892,38.8138,38.8138,14.0,sl,-0.100001,28.1731,6.5196,15.0,2.0,0.95,2.0,0.03,,,,,38.7011,14.0,48.4655,0.0,38.7011,14.0,44.7166,7.0,60m
1889,bj920522,2025-07-28,high_trap,10~15%,1.0,bull_aligned,28.4611,6.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
1908,bj920522,2025-07-29,high_trap,10~15%,1.0,bull_aligned,28.4611,6.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
1924,bj920522,2025-07-30,high_trap,10~15%,0.8241,bull_aligned,28.5493,6.0,transition,"('none', False)",order_timeout,28.5493,,,,,,,order_timeout,,28.5493,6.8465,15.0,2.0,0.95,2.0,0.03,,,,,38.7011,11.0,44.8662,0.0,,,,,none
1986,bj920522,2025-08-04,high_zone,10~15%,0.7416,bull_aligned,29.3654,6.0,transition,"('none', False)",order_timeout,29.3654,,,,,,,order_timeout,,29.3654,7.9498,15.0,2.0,0.95,1.5,0.03,,,,,38.7011,8.0,48.3586,20.0,,,,,none
2420,bj920522,2025-09-08,high_trap,15~20%,0.927,bull_aligned,33.4298,6.0,transition,"('none', False)",simulated,33.4298,50.0435,10.0,59.0513,45.0391,45.0391,17.0,sl,-0.100001,33.4298,9.9271,16.0,2.0,0.95,2.0,0.03,,,,,41.3454,18.0,58.7431,0.0,44.9945,17.0,52.5566,10.0,60m
2431,bj920522,2025-09-09,high_trap,>20%,0.927,bull_aligned,33.4298,6.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
3164,bj920522,2025-11-17,main_wave,15~20%,0.5394,neutral,36.5432,5.0,transition,"('none', False)",order_timeout,36.5432,,,,,,,order_timeout,,36.5432,9.3437,18.0,2.0,0.95,2.0,0.03,,,,,37.9884,13.0,49.6914,0.0,,,,,none
8,bj920627,2025-02-21,main_wave,3~5%,0.6586,bull_aligned,16.2765,4.0,transition,"('none', False)",simulated,16.2765,27.1356,3.0,32.02,24.422,32.02,4.0,tp,0.180001,16.2765,6.5235,23.0,2.0,0.95,2.0,0.03,,,,,25.3549,1.0,37.4116,5.0,26.4771,3.0,32.0784,4.0,60m
671,bj920627,2025-04-15,main_wave,5~10%,0.5151,neutral,21.1191,3.0,transition,"('none', False)",order_timeout,21.1191,,,,,,,order_timeout,,21.1191,8.1605,22.0,2.0,0.95,2.0,0.03,,,,,24.8682,9.0,30.986,15.0,,,,,none
9,bj920556,2025-02-21,high_zone,15~20%,0.7,bull_aligned,6.2061,4.0,transition,"('none', False)",order_timeout,6.2061,,,,,,,order_timeout,,6.2061,2.2024,22.0,2.0,0.95,1.5,0.03,,,,,9.7108,20.0,13.2322,12.0,,,,,none
24,bj920556,2025-02-24,high_zone,10~15%,0.7867,bull_aligned,6.3661,4.0,transition,"('none', False)",order_timeout,6.3661,,,,,,,order_timeout,,6.3661,2.4175,21.0,2.0,0.95,1.5,0.03,,,,,9.7108,19.0,13.2322,11.0,,,,,none
2352,bj920556,2025-09-02,high_zone,>20%,0.7016,bull_aligned,9.812,5.0,transition,"('none', False)",order_timeout,9.812,,,,,,,order_timeout,,9.812,1.5092,21.0,1.503,0.95,1.5,0.03,,,,,10.4822,20.0,13.7585,0.0,,,,,none
10,bj920876,2025-02-21,high_zone,3~5%,0.7519,bull_aligned,15.1899,4.0,transition,"('none', False)",order_timeout,15.1899,,,,,,,order_timeout,,15.1899,7.4068,22.0,2.0,0.95,1.5,0.03,,,,,27.0089,0.0,42.8772,6.0,,,,,none
63,bj920876,2025-02-26,high_zone,10~15%,0.7534,bull_aligned,15.8124,4.0,transition,"('none', False)",order_timeout,15.8124,,,,,,,order_timeout,,15.8124,7.8886,21.0,2.0,0.95,1.5,0.03,,,,,26.9291,20.0,42.8772,3.0,,,,,none
86,bj920876,2025-02-27,high_zone,>20%,0.7335,bull_aligned,16.1042,4.0,transition,"('none', False)",order_timeout,16.1042,,,,,,,order_timeout,,16.1042,8.1178,20.0,2.0,0.95,1.5,0.03,,,,,25.074,21.0,42.8772,2.0,,,,,none
