signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,support_score,ma_zone,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl,gt_t0,gt_channel_width,gt_n,gt_k,gt_offset,tp_mult,sl_buffer,gt_at_entry,ema_h_at_entry,channel_at_entry,gap_at_entry,fwd_low,fwd_low_day,fwd_high,fwd_high_day,hold_low,hold_low_day,hold_high,hold_high_day,entry_type
2053,sh600475,2025-08-08,high_trap,5~10%,0.856,bull_aligned,11.6741,6.0,transition,simulated,11.6741,21.3528,8.0,23.4881,19.2175,25.347,9.0,tp,0.187059,11.6741,2.7177,15.0,1.843,0.95,2.0,0.03,,,,,19.9297,7.0,27.9811,10.0,20.6355,8.0,25.7645,9.0,60m
1663,sz300591,2025-07-08,high_trap,10~15%,0.9612,bull_aligned,5.2707,6.0,transition,simulated,5.2707,11.9137,6.0,13.3433,10.7223,12.17,7.0,kdj_exit,0.021516,5.2707,2.2816,17.0,2.0,0.95,2.0,0.03,,,,,10.81,17.0,15.69,21.0,11.82,6.0,12.85,7.0,60m
1931,bj920925,2025-07-30,high_trap,5~10%,0.9442,bull_aligned,15.0487,6.0,transition,simulated,15.0487,24.6357,11.0,29.0701,22.1721,29.0701,13.0,tp,0.180001,15.0487,4.9887,15.0,2.0,0.95,2.0,0.03,,,,,23.82,9.0,31.98,13.0,24.2,11.0,31.98,13.0,60m
1995,bj920925,2025-08-05,high_trap,5~10%,0.9545,bull_aligned,16.2766,6.0,transition,simulated,16.2766,24.6357,7.0,29.0701,22.1721,29.0701,9.0,tp,0.180001,16.2766,5.3576,14.0,2.0,0.95,2.0,0.03,,,,,23.82,5.0,31.98,9.0,24.2,7.0,31.98,9.0,60m
1763,sz301183,2025-07-16,high_trap,15~20%,0.9685,bull_aligned,43.2972,5.0,transition,simulated,43.2972,66.7287,10.0,74.7361,60.0558,68.1538,19.0,kdj_exit,0.021358,43.2972,7.7127,15.0,1.634,0.95,2.0,0.03,,,,,62.2487,15.0,79.7343,0.0,62.2487,15.0,74.2388,10.0,60m
1809,sz002896,2025-07-21,high_trap,10~15%,0.8433,bull_aligned,51.246,5.0,transition,simulated,51.246,84.3507,5.0,92.7857,75.9156,79.53,6.0,form_break,-0.05715,51.246,8.9164,22.0,1.655,0.95,2.0,0.03,,,,,77.55,8.0,106.66,17.0,79.0,6.0,89.96,5.0,60m
2291,sh688585,2025-08-28,high_zone,15~20%,0.7377,neutral,49.9245,6.0,transition,simulated,49.9245,76.8703,9.0,88.4009,69.1833,88.4009,10.0,tp,0.15,49.9245,24.6193,16.0,2.0,0.95,1.5,0.03,,,,,71.11,4.0,132.1,19.0,76.13,9.0,91.6,10.0,60m
2349,sh688585,2025-09-02,high_zone,>20%,0.7374,neutral,55.539,6.0,transition,simulated,55.539,76.8703,6.0,88.4009,69.1833,88.4009,7.0,tp,0.15,55.539,24.5638,15.0,2.0,0.95,1.5,0.03,,,,,71.11,1.0,132.1,16.0,76.13,6.0,91.6,7.0,60m
2630,sh688585,2025-09-25,high_trap,>20%,0.8208,bull_aligned,59.5424,6.0,transition,simulated,59.5424,91.1053,5.0,104.7711,81.9948,92.0,6.0,kdj_exit,0.00982,59.5424,25.2144,19.0,2.0,0.95,2.0,0.03,,,,,80.01,2.0,124.48,12.0,84.0,5.0,95.27,5.0,60m
1837,sh603966,2025-07-23,high_trap,10~15%,0.9266,neutral,6.1765,6.0,transition,simulated,6.1765,8.2025,9.0,9.0228,7.3823,8.3946,12.0,kdj_exit,0.023415,6.1765,0.8216,19.0,1.57,0.95,2.0,0.03,,,,,8.011,6.0,9.9291,0.0,8.1389,9.0,8.4999,11.0,60m
2469,sh688660,2025-09-11,main_wave,0~3%,0.6129,neutral,14.4654,5.0,transition,simulated,14.4654,19.592,4.0,22.5308,17.6328,20.08,5.0,kdj_exit,0.024908,14.4654,6.0297,14.0,2.0,0.95,2.0,0.03,,,,,18.57,0.0,26.18,10.0,18.8,5.0,21.48,5.0,60m
2246,bj920942,2025-08-25,main_wave,10~15%,0.488,neutral,34.3516,5.0,transition,simulated,34.3516,44.1143,6.0,52.0549,39.7029,39.7029,20.0,sl,-0.1,34.3516,13.5396,17.0,2.0,0.95,2.0,0.03,,,,,39.7,20.0,46.51,0.0,39.7,20.0,45.99,18.0,60m
2815,sz300539,2025-10-17,high_zone,15~20%,0.7994,bull_aligned,31.3846,6.0,transition,simulated,31.3846,50.6747,7.0,56.7557,45.6073,45.6073,11.0,sl,-0.099999,31.3846,13.7109,14.0,2.0,0.95,1.5,0.03,,,,,42.7609,16.0,54.6814,1.0,45.3856,11.0,54.4726,7.0,60m
