position_ratio,zone_tag,trend_tag,bbi_value,ma13,ma55,ma13_slope,atr20,atr20_pct,vol_tag,golden_trend_t0,gt_n,gt_k,gt_offset,last_close,ma30,ma45,ma90,ma150,ma240,dist_ma30,dist_ma90,dist_ma150,dist_ma240,slope_ma30,slope_ma90,slope_ma240,support_score,ma_zone,macd_hist,macd_hist_slope,macd_hist_accel,rsi_value,rsi_slope,kdj_j,kdj_j_slope,kdj_k,signal_idx,stock_code,t0_date,data_source,pre_bars
0.8328,high_trap,bull_aligned,26.4298,26.5675,23.9015,2.6601,1.977,0.0656,high,18.6561,21.0,2.0,0.95,30.1527,24.0128,23.3439,24.951,,,0.2557,0.2085,,,0.071189,0.018975,0.0,4.0,transition,1.1836,0.4308,-0.1524,69.37,6.6368,77.93,-15.3205,80.38,82,bj920239,2025-02-27,60m,131
0.811,high_trap,neutral,4.5001,4.5923,4.5962,0.4662,0.313,0.0543,medium,3.4022,20.0,2.0,0.95,5.76,4.1673,4.4464,4.4247,,,0.3822,0.3018,,,0.020488,0.019665,0.0,4.0,transition,0.3221,0.2873,0.4695,75.6,23.5573,109.43,52.6056,93.29,83,sh600589,2025-02-27,60m,131
0.5946,main_wave,neutral,5.0531,5.1054,5.1382,0.2992,0.2415,0.0428,medium,4.0664,20.0,2.0,0.95,5.64,4.8343,4.8587,5.1803,,,0.1667,0.0887,,,0.026834,0.019706,0.0,4.0,transition,0.1495,0.0864,0.1311,67.55,17.7625,82.72,-11.5234,81.75,84,bj920023,2025-02-27,60m,131
0.819,high_trap,bull_aligned,24.2742,25.6001,20.7881,3.7863,3.1584,0.104,high,14.1741,23.0,2.0,0.95,30.3596,20.7039,20.0606,20.5515,,,0.4664,0.4772,,,0.091693,0.045513,0.0,4.0,transition,0.879,0.6452,2.0965,70.84,12.0173,79.3,16.3599,75.81,85,bj920207,2025-02-27,60m,131
0.7335,high_zone,bull_aligned,26.4606,28.5357,21.9319,2.9246,3.1043,0.111,high,16.1042,20.0,2.0,0.95,27.9764,23.2319,21.6196,23.1624,,,0.2042,0.2078,,,0.092474,0.029899,0.0,4.0,transition,-0.6147,-0.2372,0.3503,59.16,-5.6373,62.03,0.8205,64.06,86,bj920876,2025-02-27,60m,131
0.6583,main_wave,bull_aligned,46.6273,50.2521,40.2372,5.134,5.6035,0.1147,high,28.718,21.0,2.0,0.95,48.8529,41.2385,39.4077,40.9124,,,0.1846,0.1941,,,0.072047,0.032472,0.0,4.0,transition,-1.0644,-0.4655,1.3163,56.76,-1.9323,52.09,0.9058,54.14,87,bj920092,2025-02-27,60m,131
0.7562,high_zone,bull_aligned,19.6288,19.7137,18.6226,1.0554,1.0418,0.0499,medium,14.8574,21.0,2.0,0.95,20.885,18.6529,17.9698,17.827,,,0.1197,0.1715,,,0.047934,0.0278,0.0,4.0,transition,0.4111,0.0683,-0.4338,61.01,9.9958,88.35,-5.5841,85.57,88,bj920839,2025-02-27,60m,131
0.7279,high_zone,bull_aligned,22.9715,23.9031,21.0345,2.8972,2.1436,0.0857,high,15.2532,23.0,2.0,0.95,25.0227,20.6025,20.1659,20.7279,,,0.2145,0.2072,,,0.070306,0.024258,0.0,4.0,transition,0.1416,-0.3502,0.3545,59.35,2.8344,69.17,-1.2348,71.67,89,bj920906,2025-02-27,60m,131
0.4887,main_wave,neutral,15.75,16.1277,16.1405,1.1777,1.2735,0.0793,high,11.4033,22.0,2.0,0.95,16.05,15.0753,15.342,15.3444,,,0.0647,0.046,,,0.016634,0.034054,0.0,4.0,transition,-0.0844,-0.296,0.3353,52.94,-2.9752,55.51,0.0025,58.57,90,bj920284,2025-02-27,60m,131
0.788,high_zone,bull_aligned,16.4148,16.5454,13.7658,2.7069,1.551,0.0791,high,10.3073,21.0,2.0,0.95,19.62,13.918,13.3858,14.6797,,,0.4097,0.3365,,,0.106447,0.033011,0.0,4.0,transition,0.791,-0.5812,-0.9151,76.23,-1.7393,76.15,1.7214,76.73,91,bj920152,2025-02-28,60m,132
